dataset,task,source_family,source_run,domain_group,response_or_trait,split_type,n_train,n_test,n_features,p_over_n_train,has_pls,has_ridge,has_aom_pls,has_aom_ridge,has_pls_da,has_aom_pls_da,has_aom_ridge_cls,has_tabpfn_raw,has_tabpfn_hpo,tabpfn_allowed,aomridge_global_allowed,status_in_primary_analysis,exclusion_reason
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,GRAPEVINE_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,WUEinst,spxyG_byCultivar,77.0,35.0,276.0,3.5844155844155843,True,True,True,True,False,False,False,True,True,True,True,include,
TIC_spxy70,regression,IncombustibleMaterial,bench/AOM_v0/benchmarks/cohort_regression.csv,industrial,TIC,spxy70,43.0,19.0,254.0,5.906976744186046,True,True,True,True,False,False,False,True,True,True,True,include,
LUCAS_SOC_Cropland_8731_NocitaKS,regression,LUCAS,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-eu,LUCAS_SOC_Cropland_8731,NocitaKS,6111.0,2620.0,4200.0,0.6872852233676976,True,True,True,True,False,False,False,True,True,False,True,include,
LUCAS_SOC_all_26650_NocitaKS,regression,LUCAS,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-eu,LUCAS_SOC_all_26650,NocitaKS,13325.0,5711.0,4200.0,0.3151969981238274,True,True,True,True,False,False,False,True,True,False,True,include,
LUCAS_pH_Organic_1763_LiuRandomOrganic,regression,LUCAS,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-eu,LUCAS_pH_Organic_1763,LiuRandom,1175.0,588.0,4200.0,3.574468085106383,True,True,True,True,False,False,False,True,True,False,True,include,
Malaria_Oocist_333_Maia,regression,MALARIA,bench/AOM_v0/benchmarks/cohort_regression.csv,biomedical,Malaria_Oocist_333,Maia,227.0,106.0,2151.0,9.475770925110131,True,True,True,True,False,False,False,True,True,False,True,include,
Malaria_Sporozoite_229_Maia,regression,MALARIA,bench/AOM_v0/benchmarks/cohort_regression.csv,biomedical,Malaria_Sporozoite_229,Maia,138.0,91.0,2151.0,15.58695652173913,True,True,True,True,False,False,False,True,True,False,True,include,
All_manure_CaO_SPXY_strat_Manure_type,regression,MANURE21,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-amendment,All_manure_CaO,SPXY_strat,343.0,147.0,1003.0,2.924198250728863,True,True,True,True,False,False,False,True,True,False,True,include,
All_manure_K2O_SPXY_strat_Manure_type,regression,MANURE21,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-amendment,All_manure_K2O,SPXY_strat,343.0,147.0,1003.0,2.924198250728863,True,True,True,True,False,False,False,True,True,False,True,include,
All_manure_MgO_SPXY_strat_Manure_type,regression,MANURE21,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-amendment,All_manure_MgO,SPXY_strat,343.0,147.0,1003.0,2.924198250728863,True,True,True,True,False,False,False,True,True,False,True,include,
All_manure_P2O5_SPXY_strat_Manure_type,regression,MANURE21,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-amendment,All_manure_P2O5,SPXY_strat,343.0,147.0,1003.0,2.924198250728863,True,True,True,True,False,False,False,True,True,False,True,include,
All_manure_Total_N_SPXY_strat_Manure_type,regression,MANURE21,bench/AOM_v0/benchmarks/cohort_regression.csv,soil-amendment,All_manure_Total_N,SPXY_strat,343.0,147.0,1003.0,2.924198250728863,True,True,True,True,False,False,False,True,True,False,True,include,
Milk_Fat_1224_KS,regression,MILK,bench/AOM_v0/benchmarks/cohort_regression.csv,dairy,Milk_Fat_1224,KS,181.0,221.0,255.0,1.408839779005525,True,True,True,True,False,False,False,True,True,True,True,include,
Milk_Lactose_1224_KS,regression,MILK,bench/AOM_v0/benchmarks/cohort_regression.csv,dairy,Milk_Lactose_1224,KS,856.0,368.0,255.0,0.29789719626168226,True,True,True,True,False,False,False,True,True,True,True,include,
Milk_Urea_1224_KS,regression,MILK,bench/AOM_v0/benchmarks/cohort_regression.csv,dairy,Milk_Urea_1224,KS,856.0,368.0,255.0,0.29789719626168226,True,True,True,True,False,False,False,True,True,True,True,include,
Brix_spxy70,regression,PEACH,bench/AOM_v0/benchmarks/cohort_regression.csv,fruit-quality,Brix,spxy70,35.0,15.0,600.0,17.142857142857142,True,False,True,False,False,False,False,True,True,False,True,include,
LP_spxyG,regression,PHOSPHORUS,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,LP,spxyG,169.0,88.0,2101.0,12.431952662721894,True,True,True,True,False,False,False,True,True,False,True,include,
MP_spxyG,regression,PHOSPHORUS,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,MP,spxyG,169.0,88.0,2101.0,12.431952662721894,True,True,True,True,False,False,False,True,True,False,True,include,
NP_spxyG,regression,PHOSPHORUS,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,NP,spxyG,169.0,88.0,2101.0,12.431952662721894,True,True,True,True,False,False,False,True,True,False,True,include,
Pi_spxyG,regression,PHOSPHORUS,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Pi,spxyG,169.0,88.0,2101.0,12.431952662721894,True,True,True,True,False,False,False,True,True,False,True,include,
V25_spxyG,regression,PHOSPHORUS,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,V25,spxyG,168.0,82.0,2101.0,12.505952380952381,True,True,True,True,False,False,False,True,True,False,True,include,
Firmness_spxy70,regression,PLUMS,bench/AOM_v0/benchmarks/cohort_regression.csv,fruit-quality,Firmness,spxy70,28.0,12.0,600.0,21.428571428571427,True,True,True,True,False,False,False,True,True,False,True,include,
Quartz_spxy70,regression,QUARTZ,bench/AOM_v0/benchmarks/cohort_regression.csv,mineral,Quartz,spxy70,212.0,91.0,1500.0,7.0754716981132075,True,True,True,True,False,False,False,True,True,False,True,include,denominator_near_zero_pairwise
Escitalopramt_310_Zhao,regression,TABLET,bench/AOM_v0/benchmarks/cohort_regression.csv,pharmaceutical,Escitalopramt_310,Zhao,207.0,103.0,404.0,1.9516908212560387,True,True,True,True,False,False,False,True,True,True,True,include,
WOOD_Density_402_Olale,regression,WOOD_density,bench/AOM_v0/benchmarks/cohort_regression.csv,wood-product,WOOD_Density_402,Olale,216.0,186.0,1038.0,4.805555555555555,True,True,True,True,False,False,False,True,True,False,True,include,
WOOD_N_402_Olale,regression,WOOD_density,bench/AOM_v0/benchmarks/cohort_regression.csv,wood-product,WOOD_N_402,Olale,216.0,186.0,1038.0,4.805555555555555,True,True,True,True,False,False,False,True,True,False,True,include,
Genotype10_250,classification,ARABIDOPSIS_CEFE,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-id,Genotype10_250,unspecified,175.0,75.0,2152.0,12.297142857142857,False,False,False,False,False,False,True,False,False,False,True,include,
Group9_1856,classification,ARABIDOPSIS_CEFE,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-id,Group9_1856,unspecified,1260.0,540.0,2152.0,1.7079365079365079,False,False,False,False,False,False,True,False,False,False,True,include,
Group_2185,classification,ARABIDOPSIS_CEFE,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-id,Group_2185,unspecified,1530.0,655.0,2152.0,1.4065359477124184,False,False,False,False,True,False,True,True,True,False,True,include,
InOut_1264,classification,ARABIDOPSIS_CEFE,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-id,InOut_1264,unspecified,884.0,379.0,2152.0,2.434389140271493,False,False,False,False,True,False,True,True,True,False,True,include,
Beef_Impurity_60_AlJowder,classification,BEEF_Impurity,bench/AOM_v0/benchmarks/cohort_classification.csv,meat-quality,Beef_Impurity_60,AlJowder,30.0,30.0,470.0,15.666666666666666,False,False,False,False,True,False,True,True,True,True,True,include,
CoffeeType_kenstone70_strat,classification,COFFEE_orig,bench/AOM_v0/benchmarks/cohort_classification.csv,beverage,CoffeeType,kenstone70_strat,49.0,21.0,601.0,12.26530612244898,False,False,False,False,True,False,False,True,True,False,True,include,
Species_56_Bagnall,classification,COFFEE_sp,bench/AOM_v0/benchmarks/cohort_classification.csv,beverage,Species_56,Bagnall,,,,,False,False,False,False,True,False,False,True,True,False,False,exclude,"missing files: Xtrain.csv,Ytrain.csv,Xtest.csv,Ytest.csv"
CT2C_1057_CIAT_Acc,classification,Cassava,bench/AOM_v0/benchmarks/cohort_classification.csv,crop-tuber,CT2C_1057_CIAT_Acc,CIAT,975.0,81.0,1050.0,1.0769230769230769,False,False,False,False,True,False,True,True,True,False,True,include,
FinalScoreBin_grp70_30_classStrat,classification,FUSARIUM,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-disease,FinalScoreBin,grp70_30_classStrat,646.0,289.0,2177.0,3.369969040247678,False,False,False,False,True,False,True,True,True,False,True,include,
ScoreBin_grp70_30_classStrat,classification,FUSARIUM,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-disease,ScoreBin,grp70_30_classStrat,578.0,238.0,2177.0,3.7664359861591694,False,False,False,False,True,False,True,True,True,False,True,include,
Strawberry2C_983_Holland_Acc94.3,classification,FruitPuree,bench/AOM_v0/benchmarks/cohort_classification.csv,fruit-quality,Strawberry2C_983,Holland,666.0,317.0,235.0,0.35285285285285284,False,False,False,False,True,False,True,True,True,True,True,include,
Oocist2C_333_Maia_Acc87.6,classification,MALARIA,bench/AOM_v0/benchmarks/cohort_classification.csv,biomedical,Oocist2C_333,Maia,227.0,106.0,2151.0,9.475770925110131,False,False,False,False,True,False,True,True,True,False,True,include,
Sporozoite2C_229_Maia_Acc94.5,classification,MALARIA,bench/AOM_v0/benchmarks/cohort_classification.csv,biomedical,Sporozoite2C_229,Maia,138.0,91.0,2151.0,15.58695652173913,False,False,False,False,True,False,True,True,True,False,True,include,
labels_kenstone70_strat,classification,MILK,bench/AOM_v0/benchmarks/cohort_classification.csv,dairy,labels,kenstone70_strat,315.0,135.0,601.0,1.907936507936508,False,False,False,False,True,False,True,True,True,False,True,include,
Species_code_grpStrat70_30_bySpecimen,classification,PISTACIA,bench/AOM_v0/benchmarks/cohort_classification.csv,plant-id,Species_code,grpStrat70_30,5103.0,2220.0,1951.0,0.3823241230648638,False,False,False,False,True,False,False,True,True,False,True,include,
C2_511_Davrieux_Acc82,classification,Wood_Sustainability,bench/AOM_v0/benchmarks/cohort_classification.csv,wood-product,C2_511,Davrieux,358.0,153.0,1050.0,2.9329608938547485,False,False,False,False,True,False,True,True,True,False,True,include,
C5_511_Davrieux_Acc82,classification,Wood_Sustainability,bench/AOM_v0/benchmarks/cohort_classification.csv,wood-product,C5_511,Davrieux,358.0,153.0,1050.0,2.9329608938547485,False,False,False,False,True,False,True,True,True,False,True,include,
